Neuron,Type
ADFL,sensory
ADFR,sensory
ADLL,sensory
ADLR,sensory
AFDL,sensory
AFDR,sensory
ALML,sensory
ALMR,sensory
ALNL,sensory
ALNR,sensory
AQR,sensory
ASEL,sensory
ASER,sensory
ASGL,sensory
ASGR,sensory
ASHL,sensory
ASHR,sensory
ASIL,sensory
ASIR,sensory
ASJL,sensory
ASJR,sensory
ASKL,sensory
ASKR,sensory
AUAL,sensory
AUAR,sensory
AVM,sensory
AWAL,sensory
AWAR,sensory
AWBL,sensory
AWBR,sensory
AWCL,sensory
AWCR,sensory
BAGL,sensory
BAGR,sensory
DVA,sensory
FLPL,sensory
FLPR,sensory
IL2L,sensory
IL2R,sensory
IL2DL,sensory
IL2DR,sensory
IL2VL,sensory
IL2VR,sensory
OLLL,sensory
OLLR,sensory
OLQDL,sensory
OLQDR,sensory
OLQVL,sensory
OLQVR,sensory
PDEL,sensory
PDER,sensory
PHAL,sensory
PHAR,sensory
PHBL,sensory
PHBR,sensory
PHCL,sensory
PHCR,sensory
PLML,sensory
PLMR,sensory
PLNL,sensory
PLNR,sensory
PQR,sensory
PVDL,sensory
PVDR,sensory
PVM,sensory
SAADL,sensory
SAADR,sensory
SAAVL,sensory
SAAVR,sensory
SDQL,sensory
SDQR,sensory
URBL,sensory
URBR,sensory
URXL,sensory
URXR,sensory
URYDL,sensory
URYDR,sensory
URYVL,sensory
URYVR,sensory
ADAL,interneuron
ADAR,interneuron
ADEL,interneuron
ADER,interneuron
AIAL,interneuron
AIAR,interneuron
AIBL,interneuron
AIBR,interneuron
AIML,interneuron
AIMR,interneuron
AINL,interneuron
AINR,interneuron
AIYL,interneuron
AIYR,interneuron
AIZL,interneuron
AIZR,interneuron
ALA,interneuron
AVAL,interneuron
AVAR,interneuron
AVBL,interneuron
AVBR,interneuron
AVDL,interneuron
AVDR,interneuron
AVEL,interneuron
AVER,interneuron
AVFL,interneuron
AVFR,interneuron
AVG,interneuron
AVHL,interneuron
AVHR,interneuron
AVJL,interneuron
AVJR,interneuron
AVKL,interneuron
AVKR,interneuron
AVL,interneuron
BDUL,interneuron
BDUR,interneuron
CEPDL,interneuron
CEPDR,interneuron
CEPVL,interneuron
CEPVR,interneuron
DVC,interneuron
DVB,interneuron
LUAL,interneuron
LUAR,interneuron
PVCL,interneuron
PVCR,interneuron
PVNL,interneuron
PVNR,interneuron
PVPL,interneuron
PVPR,interneuron
PVQL,interneuron
PVQR,interneuron
PVR,interneuron
PVT,interneuron
PVWL,interneuron
PVWR,interneuron
RIAL,interneuron
RIAR,interneuron
RIBL,interneuron
RIBR,interneuron
RICL,interneuron
RICR,interneuron
RID,interneuron
RIFL,interneuron
RIFR,interneuron
RIGL,interneuron
RIGR,interneuron
RIH,interneuron
RIML,interneuron
RIMR,interneuron
RIPL,interneuron
RIPR,interneuron
RIR,interneuron
RIS,interneuron
RMGL,interneuron
RMGR,interneuron
SABD,interneuron
SABVL,interneuron
SABVR,interneuron
AS01,motor
AS02,motor
AS03,motor
AS04,motor
AS05,motor
AS06,motor
AS07,motor
AS08,motor
AS09,motor
AS10,motor
AS11,motor
DA01,motor
DA02,motor
DA03,motor
DA04,motor
DA05,motor
DA06,motor
DA07,motor
DA08,motor
DA09,motor
DB01,motor
DB02,motor
DB03,motor
DB04,motor
DB05,motor
DB06,motor
DB07,motor
DD01,motor
DD02,motor
DD03,motor
DD04,motor
DD05,motor
DD06,motor
HSNL,motor
HSNR,motor
IL1DL,motor
IL1DR,motor
IL1L,motor
IL1R,motor
IL1VL,motor
IL1VR,motor
PDA,motor
PDB,motor
RIVL,motor
RIVR,motor
RMDDL,motor
RMDDR,motor
RMDL,motor
RMDR,motor
RMDVL,motor
RMDVR,motor
RMED,motor
RMEL,motor
RMER,motor
RMEV,motor
RMFL,motor
RMFR,motor
RMHL,motor
RMHR,motor
SIADL,motor
SIADR,motor
SIAVL,motor
SIAVR,motor
SIBDL,motor
SIBDR,motor
SIBVL,motor
SIBVR,motor
SMBDL,motor
SMBDR,motor
SMBVL,motor
SMBVR,motor
SMDDL,motor
SMDDR,motor
SMDVL,motor
SMDVR,motor
URADL,motor
URADR,motor
URAVL,motor
URAVR,motor
VA01,motor
VA02,motor
VA03,motor
VA04,motor
VA05,motor
VA06,motor
VA07,motor
VA08,motor
VA09,motor
VA10,motor
VA11,motor
VA12,motor
VB01,motor
VB02,motor
VB03,motor
VB04,motor
VB05,motor
VB06,motor
VB07,motor
VB08,motor
VB09,motor
VB10,motor
VB11,motor
VC01,motor
VC02,motor
VC03,motor
VC04,motor
VC05,motor
VC06,motor
VD01,motor
VD02,motor
VD03,motor
VD04,motor
VD05,motor
VD06,motor
VD07,motor
VD08,motor
VD09,motor
VD10,motor
VD11,motor
VD12,motor
VD13,motor
I1L,pharyngeal
I1R,pharyngeal
I2L,pharyngeal
I2R,pharyngeal
I3,pharyngeal
I4,pharyngeal
I5,pharyngeal
I6,pharyngeal
M1,pharyngeal
M2L,pharyngeal
M2R,pharyngeal
M3L,pharyngeal
M3R,pharyngeal
M4,pharyngeal
M5,pharyngeal
MCL,pharyngeal
MCR,pharyngeal
MI,pharyngeal
NSML,pharyngeal
NSMR,pharyngeal