name,cell type,
I1L,interneuron,
I1R,interneuron,
I2L,interneuron,
I2R,interneuron,
I3,interneuron,
I4,interneuron,
I5,interneuron,
I6,interneuron,
M1,motorneuron,
M2L,motorneuron,
M2R,motorneuron,
M3L,motorneuron,
M3R,motorneuron,
M4,motorneuron,
M5,motorneuron,
MCL,motorneuron,
MCR,motorneuron,
MI,motorneuron,
NSML,interneuron,
NSMR,interneuron,
ASIL,sensory,
ASIR,sensory,
ASJL,sensory,
ASJR,sensory,
AWAL,sensory,
AWAR,sensory,
ASGL,sensory,
ASGR,sensory,
AWBL,sensory,
AWBR,sensory,
ASEL,sensory,
ASER,sensory,
ADFL,sensory,
ADFR,sensory,
AFDL,sensory,
AFDR,sensory,
AWCL,sensory,
AWCR,sensory,
ASKL,sensory,
ASKR,sensory,
ASHL,sensory,
ASHR,sensory,
ADLL,sensory,
ADLR,sensory,
BAGL,sensory,
BAGR,sensory,
URXL,sensory,
URXR,sensory,
ALNL,sensory,
ALNR,sensory,
PLNL,sensory,
PLNR,sensory,
SDQL,sensory,
SDQR,sensory,
AQR,sensory,
PQR,sensory,
ALML,sensory,
ALMR,sensory,
AVM,sensory,
PVM,sensory,
PLML,sensory,
PLMR,sensory,
FLPL,sensory,
FLPR,sensory,
DVA,sensory,
PVDL,sensory,
PVDR,sensory,
ADEL,sensory,
ADER,sensory,
PDEL,sensory,
PDER,sensory,
PHAL,sensory,
PHAR,sensory,
PHBL,sensory,
PHBR,sensory,
PHCL,sensory,
PHCR,sensory,
IL2DL,sensory,
IL2DR,sensory,
IL2L,sensory,
IL2R,sensory,
IL2VL,sensory,
IL2VR,sensory,
CEPDL,sensory,
CEPDR,sensory,
CEPVL,sensory,
CEPVR,sensory,
URYDL,sensory,
URYDR,sensory,
URYVL,sensory,
URYVR,sensory,
OLLL,sensory,
OLLR,sensory,
OLQDL,sensory,
OLQDR,sensory,
OLQVL,sensory,
OLQVR,sensory,
IL1DL,sensory,
IL1DR,sensory,
IL1L,sensory,
IL1R,sensory,
IL1VL,sensory,
IL1VR,sensory,
AINL,interneuron,
AINR,interneuron,
AIML,interneuron,
AIMR,interneuron,
RIH,interneuron,
URBL,interneuron,
URBR,interneuron,
RIR,interneuron,
AIYL,interneuron,
AIYR,interneuron,
AIAL,interneuron,
AIAR,interneuron,
AUAL,interneuron,
AUAR,interneuron,
AIZL,interneuron,
AIZR,interneuron,
RIS,interneuron,
ALA,interneuron,
PVQL,interneuron,
PVQR,interneuron,
ADAL,interneuron,
ADAR,interneuron,
RIFL,interneuron,
RIFR,interneuron,
BDUL,interneuron,
BDUR,interneuron,
PVR,interneuron,
AVFL,interneuron,
AVFR,interneuron,
AVHL,interneuron,
AVHR,interneuron,
PVPL,interneuron,
PVPR,interneuron,
LUAL,interneuron,
LUAR,interneuron,
PVNL,interneuron,
PVNR,interneuron,
AVG,interneuron,
DVB,interneuron,
RIBL,interneuron,
RIBR,interneuron,
RIGL,interneuron,
RIGR,interneuron,
RMGL,interneuron,
RMGR,interneuron,
AIBL,interneuron,
AIBR,interneuron,
RICL,interneuron,
RICR,interneuron,
SAADL,interneuron,
SAADR,interneuron,
SAAVL,interneuron,
SAAVR,interneuron,
AVKL,interneuron,
AVKR,interneuron,
DVC,interneuron,
AVJL,interneuron,
AVJR,interneuron,
PVT,interneuron,
AVDL,interneuron,
AVDR,interneuron,
AVL,interneuron,
PVWL,interneuron,
PVWR,interneuron,
RIAL,interneuron,
RIAR,interneuron,
RIML,interneuron,
RIMR,interneuron,
AVEL,interneuron,
AVER,interneuron,
RMFL,interneuron,
RMFR,interneuron,
RID,interneuron,
AVBL,interneuron,
AVBR,interneuron,
AVAL,interneuron,
AVAR,interneuron,
PVCL,interneuron,
PVCR,interneuron,
RIPL,interneuron,
RIPR,interneuron,
URADL,motorneuron,
URADR,motorneuron,
URAVL,motorneuron,
URAVR,motorneuron,
RMEL,motorneuron,
RMER,motorneuron,
RMED,motorneuron,
RMEV,motorneuron,
RMDDL,motorneuron,
RMDDR,motorneuron,
RMDL,motorneuron,
RMDR,motorneuron,
RMDVL,motorneuron,
RMDVR,motorneuron,
RIVL,motorneuron,
RIVR,motorneuron,
RMHL,motorneuron,
RMHR,motorneuron,
SABD,motorneuron,
SABVL,motorneuron,
SABVR,motorneuron,
SMDDL,motorneuron,
SMDDR,motorneuron,
SMDVL,motorneuron,
SMDVR,motorneuron,
SMBDL,motorneuron,
SMBDR,motorneuron,
SMBVL,motorneuron,
SMBVR,motorneuron,
SIBDL,motorneuron,
SIBDR,motorneuron,
SIBVL,motorneuron,
SIBVR,motorneuron,
SIADL,motorneuron,
SIADR,motorneuron,
SIAVL,motorneuron,
SIAVR,motorneuron,
DA01,motorneuron,
DA02,motorneuron,
DA03,motorneuron,
DA04,motorneuron,
DA05,motorneuron,
DA06,motorneuron,
DA07,motorneuron,
DA08,motorneuron,
DA09,motorneuron,
PDA,motorneuron,
DB01,motorneuron,
DB02,motorneuron,
DB03,motorneuron,
DB04,motorneuron,
DB05,motorneuron,
DB06,motorneuron,
DB07,motorneuron,
AS01,motorneuron,
AS02,motorneuron,
AS03,motorneuron,
AS04,motorneuron,
AS05,motorneuron,
AS06,motorneuron,
AS07,motorneuron,
AS08,motorneuron,
AS09,motorneuron,
AS10,motorneuron,
AS11,motorneuron,
PDB,motorneuron,
DD01,motorneuron,
DD02,motorneuron,
DD03,motorneuron,
DD04,motorneuron,
DD05,motorneuron,
DD06,motorneuron,
VA01,motorneuron,
VA02,motorneuron,
VA03,motorneuron,
VA04,motorneuron,
VA05,motorneuron,
VA06,motorneuron,
VA07,motorneuron,
VA08,motorneuron,
VA09,motorneuron,
VA10,motorneuron,
VA11,motorneuron,
VA12,motorneuron,
VB01,motorneuron,
VB02,motorneuron,
VB03,motorneuron,
VB04,motorneuron,
VB05,motorneuron,
VB06,motorneuron,
VB07,motorneuron,
VB08,motorneuron,
VB09,motorneuron,
VB10,motorneuron,
VB11,motorneuron,
VD01,motorneuron,
VD02,motorneuron,
VD03,motorneuron,
VD04,motorneuron,
VD05,motorneuron,
VD06,motorneuron,
VD07,motorneuron,
VD08,motorneuron,
VD09,motorneuron,
VD10,motorneuron,
VD11,motorneuron,
VD12,motorneuron,
VD13,motorneuron,
